id,complaint_id,updated_by,comment,status,updated_at
1,68,8,We are working on resolving this. Expected resolution within 3 days.,in_progress,2024-10-03 03:53:15
2,94,9,The issue has been fully resolved. Please confirm if you are satisfied.,resolved,2025-01-31 16:25:59
3,22,10,Your complaint has been escalated to the department head.,in_progress,2024-02-18 07:44:47
4,3,3,We have identified the root cause and are working on a fix.,in_progress,2024-08-20 18:27:28
5,50,3,Issue fixed. System has been updated accordingly.,resolved,2024-11-07 22:48:58
6,86,2,The complaint has been resolved. Thank you for your patience.,resolved,2024-02-10 04:27:03
7,95,8,We have identified the root cause and are working on a fix.,in_progress,2024-05-19 18:59:33
8,90,3,The problem was resolved after coordinating with the relevant department.,resolved,2025-02-08 04:28:39
9,7,7,Issue fixed. System has been updated accordingly.,resolved,2024-08-25 17:25:51
10,65,3,Equipment has been repaired and tested. It is now functioning correctly.,resolved,2024-05-14 15:57:42
11,27,10,We are working on resolving this. Expected resolution within 3 days.,in_progress,2024-07-11 12:41:14
12,31,9,We have identified the root cause and are working on a fix.,in_progress,2024-12-21 21:58:17
13,100,2,Your complaint has been escalated to the department head.,in_progress,2024-04-18 17:32:46
14,6,5,The complaint has been resolved. Thank you for your patience.,resolved,2024-05-23 11:03:30
15,98,5,A technician has been dispatched to address the problem.,in_progress,2025-02-21 05:24:38
16,34,8,The issue has been fully resolved. Please confirm if you are satisfied.,resolved,2024-04-21 09:11:03
17,60,9,Repairs have been completed. The facility is now operational.,resolved,2024-04-14 15:02:50
18,38,2,We have received your complaint and assigned it to the relevant team.,in_progress,2024-05-27 14:16:36
19,15,2,Maintenance team has been informed and will visit tomorrow.,in_progress,2024-10-14 00:59:46
20,91,7,We are working on resolving this. Expected resolution within 3 days.,in_progress,2024-09-22 04:30:35
21,62,5,Issue fixed. System has been updated accordingly.,resolved,2024-04-05 09:34:40
22,49,11,A technician has been dispatched to address the problem.,in_progress,2024-03-04 09:43:01
23,88,4,The issue is under investigation. We will update you shortly.,in_progress,2024-05-10 05:21:49
24,81,11,Equipment has been repaired and tested. It is now functioning correctly.,resolved,2024-05-11 23:14:40
25,66,11,The complaint has been resolved. Thank you for your patience.,resolved,2025-03-09 08:16:12
26,93,9,Issue fixed. System has been updated accordingly.,resolved,2025-02-21 22:11:13
27,41,5,The problem was resolved after coordinating with the relevant department.,resolved,2024-11-09 15:52:38
28,78,9,Maintenance team has been informed and will visit tomorrow.,in_progress,2024-04-22 05:01:13
29,52,9,Maintenance team has been informed and will visit tomorrow.,in_progress,2025-01-29 04:01:22
