id,student_id,department_id,title,description,image_url,status,created_at
1,96,7,Attendance marked incorrectly,The problem recurs frequently and a permanent solution is needed.,uploads/complaint_1.jpg,in_progress,2024-02-26 01:49:26
2,98,2,WiFi connectivity issues in lab,The problem recurs frequently and a permanent solution is needed.,uploads/complaint_2.jpg,resolved,2024-04-08 20:55:20
3,43,4,Assignment grades not updated on portal,This was reported verbally before but no action was taken.,,in_progress,2024-08-18 08:27:28
4,71,4,Projector not working in classroom,Students are unable to complete their work due to this issue.,uploads/complaint_4.jpg,resolved,2024-03-31 01:09:03
5,18,9,Library books not returned to shelves,Multiple students have reported this problem. Immediate attention is required.,uploads/complaint_5.jpg,resolved,2024-05-23 04:15:49
6,64,8,Lecture room double-booked,The problem was first noticed last week and has not been addressed yet.,uploads/complaint_6.jpg,resolved,2024-05-21 21:03:30
7,60,1,Slow internet in computer lab,Several attempts to resolve this informally have failed.,uploads/complaint_7.jpg,resolved,2024-08-23 13:25:51
8,66,9,Printing facility out of paper,Students are unable to complete their work due to this issue.,,pending,2024-02-29 10:12:27
9,86,9,WiFi connectivity issues in lab,This issue is impacting the daily routine of students and staff.,uploads/complaint_9.jpg,pending,2025-02-08 13:48:37
10,79,3,WiFi connectivity issues in lab,This was reported verbally before but no action was taken.,,pending,2024-03-07 18:52:56
11,98,4,Slow internet in computer lab,Multiple students have reported this problem. Immediate attention is required.,uploads/complaint_11.jpg,resolved,2024-02-14 20:50:17
12,91,2,Lighting issues in study room,The matter is urgent as final exams are approaching.,,in_progress,2024-08-04 13:01:29
13,38,6,Lab equipment malfunctioning,Several attempts to resolve this informally have failed.,uploads/complaint_13.jpg,in_progress,2024-09-04 00:21:03
14,70,6,Course registration system error,Multiple students have reported this problem. Immediate attention is required.,uploads/complaint_14.jpg,pending,2025-03-27 06:57:43
15,24,2,Noise disturbance near exam hall,The problem was first noticed last week and has not been addressed yet.,,in_progress,2024-10-12 01:59:46
16,20,4,Attendance marked incorrectly,Several attempts to resolve this informally have failed.,uploads/complaint_16.jpg,pending,2024-09-05 23:19:41
17,90,9,Library books not returned to shelves,This was reported verbally before but no action was taken.,uploads/complaint_17.jpg,pending,2024-04-28 07:22:04
18,45,2,Broken chairs in lecture hall,This was reported verbally before but no action was taken.,,pending,2024-06-26 14:25:16
19,55,4,Printing facility out of paper,Several attempts to resolve this informally have failed.,,in_progress,2024-02-23 10:57:36
20,23,7,Parking area overcrowded,The issue has been persisting for several days and affecting many students.,uploads/complaint_20.jpg,pending,2024-08-05 11:12:00
21,32,8,Noise disturbance near exam hall,The problem recurs frequently and a permanent solution is needed.,,in_progress,2024-05-09 18:34:23
22,81,1,Attendance marked incorrectly,The matter is urgent as final exams are approaching.,,in_progress,2024-02-16 11:44:47
23,51,6,WiFi connectivity issues in lab,This issue is impacting the daily routine of students and staff.,,pending,2024-04-03 20:12:43
24,57,9,Lighting issues in study room,The matter is urgent as final exams are approaching.,uploads/complaint_24.jpg,resolved,2024-07-16 21:06:13
25,32,3,Lighting issues in study room,The issue has been persisting for several days and affecting many students.,uploads/complaint_25.jpg,pending,2024-11-29 18:53:22
26,97,4,Parking area overcrowded,This has been affecting academic activities and needs urgent resolution.,,resolved,2024-02-14 01:52:44
27,72,4,Assignment grades not updated on portal,Students are unable to complete their work due to this issue.,uploads/complaint_27.jpg,in_progress,2024-07-09 18:41:14
28,40,1,Printing facility out of paper,The problem was first noticed last week and has not been addressed yet.,,in_progress,2024-03-08 22:05:47
29,47,6,Faculty not available during office hours,This was reported verbally before but no action was taken.,uploads/complaint_29.jpg,in_progress,2025-03-06 11:47:08
30,54,1,Broken chairs in lecture hall,Several attempts to resolve this informally have failed.,uploads/complaint_30.jpg,pending,2024-08-08 04:39:06
31,16,2,Missing study materials on LMS,The problem recurs frequently and a permanent solution is needed.,uploads/complaint_31.jpg,in_progress,2024-12-18 22:58:17
32,89,9,Broken chairs in lecture hall,The problem recurs frequently and a permanent solution is needed.,,resolved,2024-02-18 11:25:29
33,67,1,Sports facility not accessible,This was reported verbally before but no action was taken.,uploads/complaint_33.jpg,resolved,2024-06-16 01:00:03
34,58,7,Projector not working in classroom,This issue is impacting the daily routine of students and staff.,uploads/complaint_34.jpg,resolved,2024-04-20 19:11:03
35,50,9,Canteen food quality issues,The problem recurs frequently and a permanent solution is needed.,uploads/complaint_35.jpg,in_progress,2025-03-20 14:59:51
36,28,4,Lighting issues in study room,The problem recurs frequently and a permanent solution is needed.,uploads/complaint_36.jpg,resolved,2024-09-04 18:06:44
37,63,9,Library books not returned to shelves,Several attempts to resolve this informally have failed.,,pending,2024-09-21 07:09:39
38,71,8,Elevator out of service,The problem was first noticed last week and has not been addressed yet.,uploads/complaint_38.jpg,in_progress,2024-05-25 19:16:36
39,96,2,Canteen food quality issues,This was reported verbally before but no action was taken.,uploads/complaint_39.jpg,resolved,2024-03-27 12:51:48
40,42,5,Lab equipment malfunctioning,The problem was first noticed last week and has not been addressed yet.,,pending,2025-01-18 01:11:00
41,90,2,Elevator out of service,The problem recurs frequently and a permanent solution is needed.,uploads/complaint_41.jpg,resolved,2024-11-08 05:52:38
42,75,7,Lab equipment malfunctioning,This has been affecting academic activities and needs urgent resolution.,,resolved,2024-04-06 18:55:52
43,66,4,Water leakage in corridor,This was reported verbally before but no action was taken.,uploads/complaint_43.jpg,in_progress,2024-04-18 06:17:17
44,70,3,Elevator out of service,This was reported verbally before but no action was taken.,uploads/complaint_44.jpg,resolved,2024-12-23 18:09:59
45,90,9,Lighting issues in study room,This was reported verbally before but no action was taken.,,in_progress,2025-01-17 16:34:22
46,69,5,Course registration system error,The problem was first noticed last week and has not been addressed yet.,,resolved,2025-02-22 21:43:58
47,74,4,Parking area overcrowded,Students are unable to complete their work due to this issue.,,pending,2024-08-13 01:08:12
48,54,6,Noise disturbance near exam hall,Multiple students have reported this problem. Immediate attention is required.,,pending,2024-05-12 16:29:47
